classification	action	path
INTENTIONAL(agent worktree artifact)	COMMIT_DELETION	.claire/worktrees/agent-aba6f1a2789f067f2/src/app/api/ai/knowledge/init/route.ts
INTENTIONAL(agent worktree artifact)	COMMIT_DELETION	.claude/worktrees/agent-aba6f1a2789f067f2
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVL-FX document/AVL-FX_システム仕様書.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/00_MASTER/AVLFX_MASTER.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/00_MASTER/DEVELOPMENT_ROADMAP.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/00_MASTER/FINAL_PRODUCT_VISION.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/00_MASTER/SYSTEM_ARCHITECTURE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/AI.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/BACKEND.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/CURRENT_STATUS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/DATABASE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/FRONTEND.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/GATEWAY.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/MT5.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/01_CURRENT_SYSTEM/RESEARCH_ENGINE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260822_MISC_BACKTEST_DIAGNOSTIC_UI_JAPANESE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260822_STAGE1_STEP04_UI_JAPANESE_LOCALIZATION.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260823_STAGE1_STEP04_PRODUCTION_UI_CLEANUP.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260823_STAGE1_STEP05_CONVERSATIONAL_STRATEGY_RESEARCH.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260823_STAGE1_STEP06_CANDLESTICK_TRAILING_MULTITP.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260823_STAGE1_STEP07_CURATED_EA_SCREENING.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/20260823_STRATEGY_RESEARCH_5EA.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/LIVE_TRADING_ARCHITECTURE_AUDIT.md
